"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.721800083E0,6.152343750E-1,7.412053347E-1,7.371625304E-1
3.731744083E0,5.550695658E-1,7.444797158E-1,7.155812979E-1
3.741689083E0,4.205120206E-1,8.202607036E-1,6.563679576E-1
3.751634083E0,2.605649829E-1,8.489668965E-1,5.872033238E-1
3.761579083E0,7.434701174E-2,7.968586683E-1,5.002577901E-1
3.771523083E0,-1.362094134E-1,8.624126911E-1,4.918443561E-1
3.781468083E0,-3.121446669E-1,8.674468994E-1,4.682525098E-1
3.791413083E0,-4.108968079E-1,7.869967818E-1,3.253366351E-1
3.801358083E0,-4.046325386E-1,6.432400942E-1,1.672547311E-1
3.811302083E0,-3.645301163E-1,4.944705665E-1,6.201966852E-2
